"id","bldgtype","bldgtype_id"
391,"Single-family Detached",4
995,"Single-family Detached",4
1249,"Single-family Detached",4
1453,"Townhouse End Unit",5
8,"Single-family Detached",4
1179,"Single-family Detached",4
1306,"Single-family Detached",4
775,"Single-family Detached",4
138,"Duplex",2
1070,"Single-family Detached",4
322,"Single-family Detached",4
1421,"Single-family Detached",4
1310,"Single-family Detached",4
222,"Single-family Detached",4
702,"Single-family Detached",4
744,"Single-family Detached",4
814,"Single-family Detached",4
756,"Townhouse End Unit",5
976,"Townhouse Inside Unit",1
229,"Single-family Detached",4
1394,"Two-family Conversion; originally built as one-family dwelling",3
1111,"Single-family Detached",4
1007,"Single-family Detached",4
893,"Single-family Detached",4
1404,"Single-family Detached",4
1252,"Townhouse End Unit",5
786,"Single-family Detached",4
949,"Single-family Detached",4
22,"Single-family Detached",4
562,"Single-family Detached",4
1278,"Single-family Detached",4
788,"Single-family Detached",4
415,"Single-family Detached",4
133,"Single-family Detached",4
16,"Single-family Detached",4
826,"Single-family Detached",4
251,"Single-family Detached",4
1064,"Single-family Detached",4
1365,"Townhouse End Unit",5
1258,"Single-family Detached",4
506,"Duplex",2
76,"Townhouse Inside Unit",1
895,"Duplex",2
273,"Single-family Detached",4
960,"Townhouse Inside Unit",1
1450,"Townhouse Inside Unit",1
1458,"Single-family Detached",4
1378,"Single-family Detached",4
1233,"Duplex",2
972,"Townhouse Inside Unit",1
146,"Townhouse Inside Unit",1
1156,"Single-family Detached",4
1333,"Single-family Detached",4
1182,"Townhouse End Unit",5
1395,"Townhouse End Unit",5
935,"Single-family Detached",4
1213,"Single-family Detached",4
845,"Single-family Detached",4
694,"Single-family Detached",4
1343,"Single-family Detached",4
1006,"Single-family Detached",4
907,"Single-family Detached",4
332,"Single-family Detached",4
82,"Townhouse End Unit",5
1301,"Single-family Detached",4
740,"Single-family Detached",4
1399,"Single-family Detached",4
916,"Townhouse Inside Unit",1
870,"Single-family Detached",4
239,"Single-family Detached",4
118,"Single-family Detached",4
1212,"Single-family Detached",4
1019,"Single-family Detached",4
1438,"Single-family Detached",4
1137,"Single-family Detached",4
10,"Two-family Conversion; originally built as one-family dwelling",3
414,"Single-family Detached",4
878,"Single-family Detached",4
524,"Single-family Detached",4
1338,"Single-family Detached",4
1276,"Duplex",2
815,"Single-family Detached",4
413,"Single-family Detached",4
1200,"Single-family Detached",4
1405,"Single-family Detached",4
1041,"Single-family Detached",4
1151,"Single-family Detached",4
1138,"Single-family Detached",4
867,"Single-family Detached",4
576,"Single-family Detached",4
998,"Single-family Detached",4
657,"Single-family Detached",4
850,"Single-family Detached",4
185,"Single-family Detached",4
1303,"Single-family Detached",4
439,"Single-family Detached",4
1114,"Single-family Detached",4
742,"Single-family Detached",4
51,"Single-family Detached",4
1201,"Single-family Detached",4
770,"Single-family Detached",4
1371,"Single-family Detached",4
1313,"Single-family Detached",4
836,"Single-family Detached",4
1429,"Single-family Detached",4
1345,"Single-family Detached",4
692,"Single-family Detached",4
1240,"Single-family Detached",4
746,"Single-family Detached",4
341,"Single-family Detached",4
122,"Single-family Detached",4
681,"Townhouse End Unit",5
879,"Single-family Detached",4
97,"Single-family Detached",4
1171,"Single-family Detached",4
861,"Single-family Detached",4
467,"Single-family Detached",4
1028,"Single-family Detached",4
996,"Single-family Detached",4
452,"Single-family Detached",4
140,"Single-family Detached",4
55,"Single-family Detached",4
1437,"Single-family Detached",4
342,"Single-family Detached",4
1382,"Single-family Detached",4
1186,"Single-family Detached",4
1085,"Single-family Detached",4
925,"Single-family Detached",4
454,"Single-family Detached",4
1132,"Single-family Detached",4
321,"Single-family Detached",4
285,"Townhouse End Unit",5
