"id","bldgtype","saleprice","mean_saleprice"
944,"Duplex",143000,"133541.076923076923"
737,"Duplex",93500,"133541.076923076923"
1231,"Duplex",190000,"133541.076923076923"
1351,"Duplex",200000,"133541.076923076923"
40,"Duplex",82000,"133541.076923076923"
1130,"Duplex",140000,"133541.076923076923"
53,"Duplex",110000,"133541.076923076923"
571,"Duplex",142600,"133541.076923076923"
138,"Duplex",171000,"133541.076923076923"
1233,"Duplex",101800,"133541.076923076923"
911,"Duplex",154300,"133541.076923076923"
189,"Duplex",153337,"133541.076923076923"
943,"Duplex",150000,"133541.076923076923"
1337,"Duplex",135000,"133541.076923076923"
103,"Duplex",118964,"133541.076923076923"
1217,"Duplex",112000,"133541.076923076923"
898,"Duplex",142953,"133541.076923076923"
941,"Duplex",150900,"133541.076923076923"
895,"Duplex",118858,"133541.076923076923"
570,"Duplex",135960,"133541.076923076923"
956,"Duplex",145000,"133541.076923076923"
887,"Duplex",145000,"133541.076923076923"
922,"Duplex",145900,"133541.076923076923"
1413,"Duplex",90000,"133541.076923076923"
844,"Duplex",141000,"133541.076923076923"
1232,"Duplex",132500,"133541.076923076923"
145,"Duplex",125000,"133541.076923076923"
780,"Duplex",135000,"133541.076923076923"
985,"Duplex",126000,"133541.076923076923"
1091,"Duplex",92900,"133541.076923076923"
1392,"Duplex",124000,"133541.076923076923"
955,"Duplex",127500,"133541.076923076923"
914,"Duplex",145000,"133541.076923076923"
506,"Duplex",124500,"133541.076923076923"
1012,"Duplex",100000,"133541.076923076923"
1004,"Duplex",136905,"133541.076923076923"
729,"Duplex",110000,"133541.076923076923"
331,"Duplex",119000,"133541.076923076923"
779,"Duplex",144000,"133541.076923076923"
1451,"Duplex",136000,"133541.076923076923"
455,"Duplex",188000,"133541.076923076923"
635,"Duplex",144000,"133541.076923076923"
442,"Duplex",118000,"133541.076923076923"
1276,"Duplex",137000,"133541.076923076923"
79,"Duplex",136500,"133541.076923076923"
739,"Duplex",179000,"133541.076923076923"
1164,"Duplex",108959,"133541.076923076923"
1284,"Duplex",139000,"133541.076923076923"
583,"Duplex",118500,"133541.076923076923"
18,"Duplex",90000,"133541.076923076923"
343,"Duplex",87500,"133541.076923076923"
421,"Duplex",206300,"133541.076923076923"
62,"Single-family Detached",101000,"185763.807377049180"
64,"Single-family Detached",140000,"185763.807377049180"
65,"Single-family Detached",219500,"185763.807377049180"
66,"Single-family Detached",317000,"185763.807377049180"
67,"Single-family Detached",180000,"185763.807377049180"
68,"Single-family Detached",226000,"185763.807377049180"
69,"Single-family Detached",80000,"185763.807377049180"
70,"Single-family Detached",225000,"185763.807377049180"
71,"Single-family Detached",244000,"185763.807377049180"
72,"Single-family Detached",129500,"185763.807377049180"
73,"Single-family Detached",185000,"185763.807377049180"
74,"Single-family Detached",144900,"185763.807377049180"
75,"Single-family Detached",107400,"185763.807377049180"
77,"Single-family Detached",135750,"185763.807377049180"
78,"Single-family Detached",127000,"185763.807377049180"
80,"Single-family Detached",110000,"185763.807377049180"
81,"Single-family Detached",193500,"185763.807377049180"
83,"Single-family Detached",245000,"185763.807377049180"
84,"Single-family Detached",126500,"185763.807377049180"
85,"Single-family Detached",168500,"185763.807377049180"
86,"Single-family Detached",260000,"185763.807377049180"
87,"Single-family Detached",174000,"185763.807377049180"
89,"Single-family Detached",85000,"185763.807377049180"
90,"Single-family Detached",123600,"185763.807377049180"
91,"Single-family Detached",109900,"185763.807377049180"
92,"Single-family Detached",98600,"185763.807377049180"
93,"Single-family Detached",163500,"185763.807377049180"
95,"Single-family Detached",204750,"185763.807377049180"
96,"Single-family Detached",185000,"185763.807377049180"
97,"Single-family Detached",214000,"185763.807377049180"
98,"Single-family Detached",94750,"185763.807377049180"
99,"Single-family Detached",83000,"185763.807377049180"
100,"Single-family Detached",128950,"185763.807377049180"
101,"Single-family Detached",205000,"185763.807377049180"
102,"Single-family Detached",178000,"185763.807377049180"
104,"Single-family Detached",198900,"185763.807377049180"
105,"Single-family Detached",169500,"185763.807377049180"
106,"Single-family Detached",250000,"185763.807377049180"
107,"Single-family Detached",100000,"185763.807377049180"
108,"Single-family Detached",115000,"185763.807377049180"
109,"Single-family Detached",115000,"185763.807377049180"
110,"Single-family Detached",190000,"185763.807377049180"
111,"Single-family Detached",136900,"185763.807377049180"
112,"Single-family Detached",180000,"185763.807377049180"
113,"Single-family Detached",383970,"185763.807377049180"
114,"Single-family Detached",217000,"185763.807377049180"
115,"Single-family Detached",259500,"185763.807377049180"
