"id","mssubclass","lotshape","landcontour","landslope","bldgtype","housestyle","overallqual","overallcond","lotfrontage","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","lotfrontage_meannorm","lotarea_meannorm","garagearea_meannorm","grlivarea_meannorm","totalbsmtsf_meannorm","saleprice_meannorm"
438,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Above Average","Good",50,6000,180,904,884,119000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
326,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Above Average",50,5000,360,803,720,87000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
827,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Above Average",50,6130,0,784,784,109500,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
384,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Above Average","Fair",60,9000,360,784,784,76000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
515,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Average",55,10594,200,789,768,96500,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
128,"1-1/2 STORY - UNFINISHED ALL AGES","Slightly irregular","Banked - Quick and significant rise from street grade to building","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Good",55,4388,0,840,672,87000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
556,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Above Average",58,6380,280,1048,993,113000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
1070,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Good",60,9600,576,893,845,135000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
618,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Hillside - Significant slope from side to side","Moderate Slope","Single-family Detached","One and one-half story: 2nd level unfinished","Above Average","Above Average",59,7227,528,832,832,105500,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
164,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Below Average","Above Average",55,5500,0,882,882,103200,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730"
243,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Below Average",63,5000,352,1440,540,79000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
787,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",60,10800,416,1652,686,139000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
768,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Good",75,12508,423,1750,983,160000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1219,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Average",52,6240,0,912,0,80500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
751,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Good",55,8800,0,1140,576,96500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
