"id","mssubclass","lotshape","landcontour","landslope","bldgtype","housestyle","overallqual","overallcond","lotfrontage","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","lotfrontage_meannorm","lotarea_meannorm","garagearea_meannorm","grlivarea_meannorm","totalbsmtsf_meannorm","saleprice_meannorm","lotfrontage_std","lotarea_std","garagearea_std","grlivarea_std","totalbsmtsf_std","saleprice_std"
1321,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Fair",70,8400,442,1478,1478,156500,"0.05232176462864895623","-0.02172908028788605015","-0.11634706416523368822","-0.10916799145255029885","-0.01987388740667668093","-0.07210275779809881822","0.35704487954877987486","-0.21208014179894236418","-0.14489913687504858332","-0.07129419063387784399","0.95866296690925877032","-0.30740718134738798459"
438,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Above Average","Good",50,6000,180,904,884,119000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","-0.21991751573757166557","-0.45253062740968070445","-1.3703157280944243","-1.1636280209868220","-0.39532105581001784165","-0.77944668966047004871"
326,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Above Average",50,5000,360,803,720,87000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","-0.21991751573757166557","-0.55271832974748834623","-0.52842646695134175336","-1.3558331026342913","-0.76914829440591239445","-1.1822537367543001"
827,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Above Average",50,6130,0,784,784,109500,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","-0.21991751573757166557","-0.43950622610576571102","-2.2122049892375069","-1.3919904942313400","-0.62326449397824622750","-0.89903003176645083829"
384,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Above Average","Fair",60,9000,360,784,784,76000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","0.06856368190560410465","-0.15196752039625777911","-0.52842646695134175336","-1.3919904942313400","-0.62326449397824622750","-1.3207186591928041"
515,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Average",55,10594,200,789,768,96500,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","-0.07567691691598378046","0.00773167713020760189","-1.2767724768563040","-1.3824753911794851","-0.65973544408516276924","-1.0626703946483193"
128,"1-1/2 STORY - UNFINISHED ALL AGES","Slightly irregular","Banked - Quick and significant rise from street grade to building","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Good",55,4388,0,840,672,87000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","-0.07567691691598378046","-0.61403320357822662300","-2.2122049892375069","-1.2854213400505649","-0.87856114472666201966","-1.1822537367543001"
556,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Above Average",58,6380,280,1048,993,113000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","0.01086744237696895060","-0.41445930052131380057","-0.90259947190382289486","-0.88959305309340049530","-0.14686270820664890107","-0.85497301099056317897"
1070,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Average","Good",60,9600,576,893,845,135000,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","0.06856368190560410465","-0.09185489899357319404","0.48184064642035732870","-1.1845612477009028","-0.48421899669562691213","-0.57804316611355503468"
618,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Hillside - Significant slope from side to side","Moderate Slope","Single-family Detached","One and one-half story: 2nd level unfinished","Above Average","Above Average",59,7227,528,832,832,105500,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","0.03971556214128652762","-0.32960031664119072798","0.25733684344886864380","-1.3006455049335328","-0.51385164365749660229","-0.94938091265317959180"
164,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Below Average","Above Average",55,5500,0,882,882,103200,"-0.00199133441288459010","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","-0.07567691691598378046","-0.50262447857858452534","-2.2122049892375069","-1.2054944744149837","-0.39987992457338240936","-0.97833266916304862506"
243,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Below Average",63,5000,352,1440,540,79000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573","0.15510804119855683571","-0.55271832974748834623","-0.56584376744658986751","-0.14360897382797519457","-1.1794464831087235","-1.2829554985277576"
787,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",60,10800,416,1652,686,139000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573","0.06856368190560410465","0.02837034381179597610","-0.26650536348460495431","0.25983139557067318235","-0.84664906338311004564","-0.52769228522682628118"
